lr,epochs,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,pooled_accuracy,pooled_macro avg_precision,pooled_macro avg_recall,pooled_macro avg_f1-score,pooled_weighted avg_precision,pooled_weighted avg_recall,pooled_weighted avg_f1-score,pooled_None_precision,pooled_None_recall,pooled_None_f1,pooled_Relationship_precision,pooled_Relationship_recall,pooled_Relationship_f1
0.01,8,0.736253319496989,0.021197331032858546,0.7359033017222972,0.021182621914034756,0.7362567118384045,0.7362649500878955,0.7362009833134586,0.7362127312580845,0.7362614691374063,0.7362567118384045,0.7362388583355023,0.73671875,0.7289358412780211,0.7328066312653801,0.735811150175791,0.7434661253488962,0.7396188312507889
0.01,12,0.7351015255386778,0.01608593620387388,0.7348309218984568,0.016038768020645282,0.7351061109690616,0.7356016426094868,0.73491007302311,0.7348480996414053,0.7355321755570907,0.7351061109690616,0.7349115450498453,0.7446578306735191,0.709353259469209,0.7265769332277646,0.7265454545454545,0.7604668865770109,0.7431192660550459
0.01,20,0.7363822589738771,0.007983010570798177,0.7357290318704697,0.008052551450142385,0.7363845563794426,0.7377536384522021,0.7360748311493002,0.7358249777361331,0.7376291764455877,0.7363845563794426,0.7359182408433513,0.7539793353811785,0.6956969853130637,0.7236665773251139,0.7215279415232256,0.7764526769855367,0.7479833781471523
0.01,50,0.7358709134438607,0.010312316048725642,0.7357428286356448,0.010271306861213327,0.7358731782152902,0.7360317164300008,0.7357517194647853,0.7357512804253292,0.7359972516007157,0.7358731782152902,0.7357948153503153,0.7405247813411079,0.7199175470239629,0.7300757773713091,0.7315386515188935,0.7515858919056078,0.7414267834793492
0.001,8,0.7434141179739016,0.014292162650088237,0.7432506319592542,0.014326717824312609,0.743416006136538,0.7434885392743267,0.7433273546992842,0.7433395537831246,0.7434678155206728,0.743416006136538,0.7433735326068638,0.7461902259590121,0.7317701623292966,0.7389098477949785,0.7407868525896414,0.7548845470692718,0.7477692597712706
0.001,12,0.7463558664193556,0.013763599226989815,0.746040445001815,0.013969232696998098,0.7463564305804142,0.7466122683341103,0.7462140130438526,0.7462066857784602,0.7465642987552923,0.7463564305804142,0.7462539736106562,0.7528659024260197,0.7276475135274414,0.740041928721174,0.7403586342422009,0.7647805125602639,0.7523714428357464
0.001,20,0.748656594461649,0.013325195941404406,0.7485718373279514,0.013326538559342304,0.7486576323191,0.7486899779676255,0.7485898842505676,0.7486042334524667,0.7486784259502949,0.7486576323191,0.7486323381191158,0.7501959759602822,0.739757794382891,0.744940321743643,0.7471839799749687,0.7574219741182441,0.7522681451612904
0.001,50,0.7478898212987098,0.011203785429520741,0.7477785893321556,0.011225678402001985,0.7478905650728714,0.7479501439097462,0.7478090419097823,0.7478230361647482,0.7479319054902948,0.7478905650728714,0.747854690340431,0.7503278258589038,0.7371811388817315,0.7436963867949051,0.7455724619605887,0.7584369449378331,0.7519496855345912
0.0001,8,0.7338257764558803,0.014121775845441508,0.7336273442343872,0.014249438632516034,0.7338276655586806,0.7339248921459676,0.7337257006708262,0.7337323406872723,0.733900173522081,0.7338276655586806,0.7337709859054109,0.7371473767466385,0.7204328781241948,0.72869429241595,0.7307024075452966,0.7470185232174575,0.7387703889585947
0.0001,12,0.7409849407188907,0.014191108019855469,0.7408405458203184,0.0142533947112226,0.7409869598568141,0.7410157653952729,0.7409187604253697,0.7409319313197851,0.7410054777029663,0.7409869598568141,0.7409608937076951,0.742356937548994,0.7320278278794126,0.7371562013492475,0.7396745932415519,0.749809692971327,0.7447076612903226
