lr,epochs,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,pooled_accuracy,pooled_macro avg_precision,pooled_macro avg_recall,pooled_macro avg_f1-score,pooled_weighted avg_precision,pooled_weighted avg_recall,pooled_weighted avg_f1-score,pooled_None_precision,pooled_None_recall,pooled_None_f1,pooled_Relationship_precision,pooled_Relationship_recall,pooled_Relationship_f1
0.01,8,0.5365325077399381,0.06689943293941678,0.40414510730563097,0.1280330906101499,0.5365279841505696,0.5366835989166234,0.5365279841505696,0.536035940971633,0.5366835989166234,0.5365279841505696,0.536035940971633,0.5390728476821192,0.5039623576027736,0.5209266606937156,0.5342943501511277,0.5690936106983655,0.5511452212495503
0.01,12,0.5908766054624038,0.07517965682228685,0.5154982085942552,0.14681559055161694,0.5908865775136206,0.6001819565316149,0.5908865775136206,0.581171326896428,0.6001819565316149,0.5908865775136206,0.581171326896428,0.569665907365224,0.7431896978702328,0.6449602407049215,0.6306980056980057,0.4385834571570084,0.5173824130879345
0.01,20,0.6170262544830335,0.07671292693346023,0.556965749654931,0.13810324502443858,0.6170133729569094,0.6187839671481121,0.6170133729569094,0.6155808346322328,0.6187839671481122,0.6170133729569094,0.6155808346322328,0.6332863187588152,0.5559683011391778,0.592113939074245,0.604281615537409,0.678058444774641,0.6390477301902205
0.01,50,0.5454489164086688,0.08768344073769614,0.4134156479435659,0.15337756270690944,0.5454432887568103,0.5529568925907177,0.5454432887568103,0.5287270597767371,0.5529568925907177,0.5454432887568103,0.5287270597767371,0.5729042510925705,0.35710747894997524,0.43996948893974064,0.5330095340888649,0.7337790985636453,0.6174846306137335
0.001,8,0.5489153358060264,0.056592615899139866,0.4380614163368722,0.11707170632125123,0.5489103516592373,0.5533845134204478,0.5489103516592373,0.5392566135749445,0.5533845134204478,0.5489103516592373,0.5392566135749445,0.5688393168351342,0.40416047548291234,0.4725640654408571,0.5379297100057615,0.6936602278355621,0.6059491617090319
0.001,12,0.6114318885448917,0.08229281686361738,0.5469604016926513,0.15565378623168952,0.611441307578009,0.6403250543275966,0.611441307578009,0.5903618866926137,0.6403250543275966,0.611441307578009,0.5903618866926137,0.5766609880749574,0.8382862803368004,0.6832862333467905,0.7039891205802358,0.38459633481921746,0.4974375400384369
0.001,20,0.6004220948410631,0.06193894908331629,0.5310545123350805,0.11158428547076306,0.6004210004952947,0.6140303100007041,0.6004210004952947,0.5881320792225762,0.6140303100007041,0.6004210004952947,0.5881320792225763,0.5746364807656912,0.7731550272412085,0.6592756836659276,0.653424139235717,0.42768697374938086,0.5169884747792247
0.001,50,0.6114282101584771,0.09006585375545643,0.535489469097038,0.15658285387907064,0.611441307578009,0.6134249271923202,0.611441307578009,0.6097350308654809,0.6134249271923202,0.611441307578009,0.6097350308654809,0.5984251968503937,0.6775631500742942,0.6355400696864112,0.6284246575342466,0.5453194650817236,0.5839299920445505
0.0001,8,0.5782661772369189,0.04223741345113047,0.5065659125744422,0.09055549120564865,0.5782565626547796,0.66090473288973,0.5782565626547795,0.5161208404240609,0.66090473288973,0.5782565626547796,0.5161208404240609,0.5455856895556838,0.9366022783556216,0.6895168641750228,0.7762237762237763,0.2199108469539376,0.3427248166730992
0.0001,12,0.5733007387426049,0.025818203123208542,0.4948788820817369,0.0524120693580354,0.5733036156513125,0.6822424434631993,0.5733036156513125,0.4983334803067305,0.6822424434631992,0.5733036156513125,0.49833348030673047,0.541340782122905,0.9598811292719168,0.6922664761564565,0.8231441048034934,0.18672610203070827,0.30440048445700446
0.0001,20,0.5795041075314962,0.041509398502201124,0.49901823372978293,0.08526554730829242,0.5794947994056464,0.5921026378258911,0.5794947994056463,0.5645942339180952,0.5921026378258911,0.5794947994056464,0.5645942339180953,0.6261792452830188,0.39450222882615155,0.4840474020054695,0.5580260303687635,0.7644873699851411,0.645141065830721
0.0001,50,0.5810917144346013,0.056532497987637195,0.4911970021121075,0.09936912442695475,0.5811045071817732,0.7164325361138228,0.5811045071817731,0.5034920521151554,0.7164325361138228,0.5811045071817732,0.5034920521151552,0.8875739644970414,0.18573551263001487,0.3071882039729674,0.5452911077306043,0.9764735017335314,0.6997959002573432
1e-05,8,0.55188578610183,0.01612032438520071,0.5110820400892663,0.04873895053404334,0.5518821198613175,0.5725972610004724,0.5518821198613175,0.5174597117769255,0.5725972610004724,0.5518821198613175,0.5174597117769255,0.6113769271664008,0.2847944526993561,0.38857915188376413,0.5338175948345439,0.8189697870232788,0.646340271670087
