lr,epochs,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,pooled_accuracy,pooled_macro avg_precision,pooled_macro avg_recall,pooled_macro avg_f1-score,pooled_weighted avg_precision,pooled_weighted avg_recall,pooled_weighted avg_f1-score,pooled_Activation_precision,pooled_Activation_recall,pooled_Activation_f1,pooled_Repression_precision,pooled_Repression_recall,pooled_Repression_f1,pooled_None_precision,pooled_None_recall,pooled_None_f1
0.01,8,0.37348608837970537,0.07092165008943158,0.2512178811232473,0.08183182809203357,0.3734860883797054,0.3801427663787184,0.37508911534687567,0.37172616573527106,0.39222587493506517,0.3734860883797054,0.37661581603236893,0.473928157589803,0.33857615894039733,0.3949782713664896,0.27911275415896486,0.36429433051869725,0.3160648874934589,0.38738738738738737,0.4223968565815324,0.4041353383458647
0.01,12,0.43502454991816697,0.03314632940151052,0.29562971465592314,0.06046111554160246,0.4350245499181669,0.2890203058248273,0.3961290588393465,0.33416916954033643,0.3168536560400303,0.4350245499181669,0.3666166840402744,0.4490521327014218,0.6274834437086093,0.5234806629834254,0.0,0.0,0.0,0.41800878477306,0.5609037328094303,0.4790268456375839
0.01,20,0.3833060556464812,0.01698977318803402,0.26217909475484535,0.0561353010042789,0.3833060556464812,0.38248039779513304,0.38421259080506864,0.37722384875746445,0.3901101048273113,0.3833060556464812,0.3799490218433955,0.4416184971098266,0.3162251655629139,0.3685479980704293,0.3186046511627907,0.330518697225573,0.32445233866193013,0.38721804511278196,0.5058939096267191,0.4386712095400341
0.01,50,0.3492635024549918,0.0910760421555302,0.22189059198548122,0.08875334161662884,0.3492635024549918,0.4591773688605456,0.3640170425917342,0.3191328955472706,0.46867252278505434,0.3492635024549918,0.32040572034369474,0.43005671077504726,0.37665562913907286,0.40158870255957635,0.2764227642276423,0.6151990349819059,0.381451009723261,0.6710526315789473,0.10019646365422397,0.17435897435897435
0.001,8,0.3607201309328969,0.0513567493484915,0.18222130213709586,0.026826800717420076,0.3607201309328969,0.33699909683558765,0.3366668563884363,0.3229501363050998,0.34439629656326404,0.3607201309328969,0.33771238848434915,0.39790864061640063,0.5985099337748344,0.47801652892561985,0.2786624203821656,0.21109770808202655,0.24021962937542896,0.3344262295081967,0.20039292730844793,0.25061425061425063
0.001,12,0.418657937806874,0.0611629732591251,0.26450640167540673,0.10493940689401261,0.418657937806874,0.40878875055719216,0.38021254415020195,0.32830886749813587,0.4111174555931284,0.418657937806874,0.3583061433762835,0.4314606741573034,0.6357615894039735,0.5140562248995983,0.3939393939393939,0.015681544028950542,0.030162412993039442,0.40096618357487923,0.48919449901768175,0.4407079646017699
0.001,20,0.38559738134206223,0.0730369119768566,0.2598868825282457,0.08655035204826715,0.3855973813420622,0.3786771610779207,0.3805518336641733,0.37811630997199625,0.38609739688902467,0.3855973813420622,0.3842585341463172,0.4291079812206573,0.3783112582781457,0.40211174659040916,0.30943396226415093,0.29674306393244876,0.30295566502463056,0.39748953974895396,0.46660117878192536,0.42928151830094896
0.001,50,0.4356792144026187,0.0655596717598526,0.3413160983546854,0.07730911945403454,0.43567921440261864,0.4295181661209065,0.4289131055356889,0.4287676709094759,0.44037143504199944,0.43567921440261864,0.4375914279097153,0.503985828166519,0.47102649006622516,0.48694908001711595,0.32894736842105265,0.3618817852834741,0.3446295232624928,0.4556213017751479,0.4538310412573674,0.4547244094488189
0.0001,8,0.3983633387888707,0.01103260199433893,0.23060439720625228,0.04301695268297294,0.3983633387888707,0.4565526689717793,0.35055114370262386,0.26250083477446234,0.4620878102713328,0.3983633387888707,0.2858325391052267,0.4053751399776036,0.8990066225165563,0.5587856959094417,0.31563421828908556,0.12907117008443908,0.1832191780821918,0.6486486486486487,0.023575638506876228,0.04549763033175355
0.0001,12,0.3679214402618658,0.060855632927578986,0.29102312002759523,0.07205432001355651,0.3679214402618658,0.4123976367775841,0.39338110458436487,0.358859632525973,0.42609704181838126,0.3679214402618658,0.35064831053176904,0.5171568627450981,0.17466887417218543,0.26113861386138615,0.2962736713500305,0.5850422195416164,0.3933495539334955,0.42376237623762375,0.4204322200392927,0.42209072978303747
0.0001,20,0.4618657937806875,0.02878663288500248,0.3790718958418229,0.03688314627320129,0.4618657937806874,0.4483219153506342,0.43890350720453314,0.435357292035163,0.45428961617088165,0.4618657937806874,0.4500793531843017,0.4596977329974811,0.6043046357615894,0.5221745350500715,0.36329588014981273,0.23401688781664656,0.2846661775495231,0.5219721329046088,0.47838899803536344,0.4992311635058944
0.0001,50,0.47037643207855967,0.039096681403381066,0.37933837278711247,0.06891137059071331,0.4703764320785597,0.49368503851310236,0.4335711549208227,0.4142186488306024,0.497930448906231,0.4703764320785597,0.4330762334634257,0.4547563805104408,0.8112582781456954,0.5828129646149272,0.3859275053304904,0.218335343787696,0.27889060092449924,0.6403712296983759,0.27111984282907664,0.38095238095238093
1e-05,8,0.36432078559738135,0.015512923877018383,0.3229392528498337,0.01826363337737294,0.36432078559738135,0.3642734728365693,0.35145181857275204,0.3325517903056227,0.37048732779932436,0.36432078559738135,0.34139283097414874,0.39600470035252644,0.5579470198675497,0.4632302405498282,0.29573170731707316,0.35102533172496986,0.3210148924434639,0.4010840108401084,0.14538310412573674,0.21341023792357605
1e-05,12,0.3754500818330605,0.015374165061626671,0.3374571972445549,0.027555611366622938,0.37545008183306056,0.38267234449883736,0.3696157573866992,0.35276424211624763,0.39005420429971494,0.37545008183306056,0.3597059599867224,0.419811320754717,0.515728476821192,0.46285289747399705,0.3006872852233677,0.4221954161640531,0.35122930255895635,0.4275184275184275,0.17092337917485265,0.24421052631578946
1e-05,20,0.4094926350245499,0.018353971546810066,0.37078254913688014,0.02402880926259824,0.4094926350245499,0.3982536607441804,0.3999521676445905,0.39315404654620906,0.4073972358050008,0.4094926350245499,0.40263016780446653,0.46724470134874757,0.4014900662251656,0.43187889581478184,0.31981279251170047,0.24728588661037396,0.2789115646258503,0.407703488372093,0.5510805500982319,0.46867167919799496
1e-05,50,0.46088379705400984,0.020509918425951606,0.4301743218785191,0.01857700931055844,0.46088379705400984,0.44942466851332763,0.45296792360726473,0.44914695186659775,0.45809973390987835,0.46088379705400984,0.4574263311014243,0.5009140767824497,0.45364238410596025,0.476107732406603,0.3609625668449198,0.32569360675512665,0.34242232086239693,0.48639736191261335,0.5795677799607073,0.5289108023307934
