lr,epochs,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,pooled_accuracy,pooled_macro avg_precision,pooled_macro avg_recall,pooled_macro avg_f1-score,pooled_weighted avg_precision,pooled_weighted avg_recall,pooled_weighted avg_f1-score,pooled_Activation_precision,pooled_Activation_recall,pooled_Activation_f1,pooled_Repression_precision,pooled_Repression_recall,pooled_Repression_f1,pooled_None_precision,pooled_None_recall,pooled_None_f1
0.01,8,0.5148070480658207,0.011975323083507449,0.5069546775888489,0.014723699384966744,0.5148100450740503,0.508438885138493,0.5076209098360697,0.5075332911698028,0.5200494573656188,0.5148100450740503,0.5169830424512576,0.5622923588039868,0.5373015873015873,0.549512987012987,0.3852013057671382,0.42650602409638555,0.40480274442538594,0.5778229908443541,0.5590551181102362,0.5682841420710355
0.01,12,0.5160978817486577,0.013568683135599027,0.5087655162270548,0.016999559346057,0.5160978750804893,0.5116630760309757,0.5092872678063837,0.5095568458406281,0.5235188136882504,0.5160978750804893,0.5189987571518418,0.564929693961952,0.542063492063492,0.5532604293236127,0.3835616438356164,0.43855421686746987,0.4092186621697583,0.5864978902953587,0.547244094488189,0.5661914460285132
0.01,20,0.5151316981737784,0.01241463212252656,0.5069543284068176,0.015344089915150174,0.51513200257566,0.5091656196094176,0.5065412631653975,0.5072461662896003,0.5205773734337457,0.51513200257566,0.5173177430521378,0.5597433841218925,0.553968253968254,0.5568408456322298,0.38495092693565974,0.42530120481927713,0.4041213508872353,0.5828025477707006,0.5403543307086615,0.5607763023493361
0.01,50,0.5173861265151632,0.013236400164202211,0.509470622334282,0.01583931542982837,0.5173857050869285,0.5126886991897791,0.50844666003095,0.5096985345173376,0.5241814421749028,0.5173857050869285,0.5200026288033961,0.557936507936508,0.557936507936508,0.557936507936508,0.3801295896328294,0.42409638554216866,0.4009111617312073,0.6,0.5433070866141733,0.5702479338842975
0.001,8,0.5331660893383248,0.011145647056645211,0.5223278399551419,0.015162072297716125,0.5331616226658081,0.5240158257347337,0.5218915281172183,0.5227766509362634,0.5347926827901331,0.5331616226658081,0.5338009866303097,0.5689922480620155,0.5825396825396826,0.5756862745098039,0.40305522914218567,0.41325301204819276,0.4080904223676383,0.6,0.5698818897637795,0.5845532559313478
0.001,12,0.5373492603466041,0.007310765573353631,0.5266288543087676,0.01093679059317011,0.5373470701867353,0.5281195033429583,0.5264507097255414,0.5271760141765465,0.5384747659724134,0.5373470701867353,0.5378008751948136,0.5707620528771384,0.5825396825396826,0.5765907305577376,0.41113744075829384,0.41807228915662653,0.4145758661887694,0.6024590163934426,0.5787401574803149,0.5903614457831325
0.001,20,0.5383144083549508,0.0039437691149273825,0.5265043689350852,0.006502092898849607,0.5383129426915647,0.5285937335927157,0.5260843775050207,0.5271324289857421,0.5393417765877204,0.5383129426915647,0.5386103370636869,0.5712098009188361,0.5920634920634921,0.5814497272018706,0.4050179211469534,0.40843373493975904,0.40671865626874626,0.6095534787123572,0.577755905511811,0.5932289034866094
0.001,50,0.5392759318804334,0.005372810291370187,0.5273338994265026,0.007358533752610474,0.5392788151963941,0.5291458769819025,0.526657460990067,0.5276990517322665,0.5400309792941038,0.5392788151963941,0.5394394277726903,0.5721925133689839,0.5944444444444444,0.5831062670299727,0.40384615384615385,0.40481927710843374,0.4043321299638989,0.6113989637305699,0.5807086614173228,0.5956587582029278
0.0001,8,0.5074037829245435,0.010781742953818391,0.4952970183810554,0.011428125493439257,0.5074050225370251,0.4953531342997186,0.4958733948417091,0.49553884955440514,0.5060371373401492,0.5074050225370251,0.5066553628230474,0.5535289452815226,0.553968253968254,0.5537485124950416,0.39325842696629215,0.3795180722891566,0.38626609442060084,0.539272030651341,0.5541338582677166,0.5466019417475728
0.0001,12,0.515775302773765,0.009762168435673001,0.5024293699835185,0.010456029524975805,0.5157759175788796,0.5026836441996737,0.5030929492247204,0.5027033973003244,0.5132439389106671,0.5157759175788796,0.5143492886981691,0.5582486317435497,0.5666666666666667,0.5624261520283577,0.3992297817715019,0.3746987951807229,0.3865755127408328,0.5505725190839694,0.5679133858267716,0.5591085271317829
