lr,epochs,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,pooled_accuracy,pooled_macro avg_precision,pooled_macro avg_recall,pooled_macro avg_f1-score,pooled_weighted avg_precision,pooled_weighted avg_recall,pooled_weighted avg_f1-score,pooled_None_precision,pooled_None_recall,pooled_None_f1,pooled_Relationship_precision,pooled_Relationship_recall,pooled_Relationship_f1
0.01,8,0.5533882203926537,0.07065834698578687,0.43864155637504776,0.13364702860369423,0.5533882203926536,0.5651668955615256,0.5537332264456628,0.5330676011251289,0.5652131981854129,0.5533882203926536,0.5329072076518575,0.537046955900732,0.7632580563308805,0.630475791238734,0.5932868352223191,0.3442083965604451,0.43565941101152367
0.01,12,0.6320455984800507,0.07544128335684162,0.5777345294410445,0.1344017215913811,0.6320455984800507,0.6360147848796707,0.6321841304409489,0.6294875651545656,0.6360537278405726,0.6320455984800507,0.6294368724209813,0.6123644251626899,0.7163156559248922,0.6602736522044206,0.6596651445966515,0.5480526049570056,0.5987014781047106
0.01,20,0.6230525649145029,0.09826703960625302,0.5524136922400154,0.17486848176892664,0.6230525649145029,0.6558117040207568,0.622673206990772,0.6017242424435565,0.655694739228562,0.6230525649145029,0.6018760039061303,0.7268453220498354,0.3922862217711241,0.5095583388266315,0.5847780859916782,0.8530601922104198,0.6938901460604814
0.01,50,0.6778974034198859,0.07113266356753238,0.6446414040568678,0.11306748335127344,0.677897403419886,0.6864348450353817,0.677719876011329,0.6740295422617678,0.6863698264407704,0.677897403419886,0.674088009930437,0.7259211376858435,0.569906115199188,0.6385216773276475,0.6469485523849198,0.7855336368234699,0.7095374071958881
0.001,8,0.5818872704243192,0.06420349272750066,0.49816766989752664,0.11610934293050736,0.5818872704243192,0.5818981615396042,0.5818729972198682,0.5818485217764633,0.5818971429460884,0.5818872704243192,0.5818551498346491,0.5825167612171223,0.5732047703628521,0.5778232510551221,0.5812795618620862,0.5905412240768841,0.5858737924978046
0.001,12,0.6173527549081698,0.04281940043307593,0.5626686886640789,0.0711909152520784,0.6173527549081698,0.6178077339337855,0.6172989506192568,0.6169178934964126,0.617796337542007,0.6173527549081698,0.6169391461217993,0.6247288503253796,0.5846231920832277,0.604011010617381,0.6108866175421915,0.6499747091552858,0.6298247763754442
0.001,20,0.6287523749208359,0.08069640387769021,0.5730138762667853,0.1317485455192839,0.628752374920836,0.6356384343618513,0.628564703170449,0.6237759903370309,0.635588784460169,0.628752374920836,0.6238472381339356,0.6657912015758372,0.514590205531591,0.5805066552168313,0.6054856671478656,0.742539200809307,0.6670453254572305
0.001,50,0.6548448385053832,0.09893545088033312,0.6022896404924978,0.15965606066486723,0.6548448385053831,0.6881637099284158,0.6551899110771076,0.6391603769694022,0.688294767516464,0.6548448385053831,0.6390365021213051,0.6085714285714285,0.8647551382897741,0.7143905251021906,0.7677559912854031,0.4456246838644411,0.5639302288366138
0.0001,8,0.5134895503483217,0.009354173749277644,0.3655333023034837,0.021923787513552655,0.5134895503483218,0.7156268344140433,0.5142851559747551,0.36599220312053726,0.7159712812213385,0.5134895503483218,0.3654886670086777,0.5064416387528987,0.9974625729510277,0.6717935572075536,0.924812030075188,0.03110773899848255,0.06019084903352092
0.0001,12,0.6958834705509817,0.013220307326805743,0.6893357672494113,0.01768708920446515,0.6958834705509817,0.6959730251916556,0.6958999568367872,0.6958595612995353,0.6959806344094907,0.6958834705509817,0.6958551210099809,0.691351888667992,0.7059122050241056,0.698556183301946,0.7005941617153191,0.6858877086494689,0.6931629392971246
