lr,epochs,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,pooled_accuracy,pooled_macro avg_precision,pooled_macro avg_recall,pooled_macro avg_f1-score,pooled_weighted avg_precision,pooled_weighted avg_recall,pooled_weighted avg_f1-score,pooled_None_precision,pooled_None_recall,pooled_None_f1,pooled_Relationship_precision,pooled_Relationship_recall,pooled_Relationship_f1
0.01,8,0.7346890413930843,0.010260140917999951,0.7342715342325715,0.01061294021424648,0.734688723323652,0.7347784020010955,0.7342863576747516,0.7343660514907266,0.7347427575647446,0.734688723323652,0.7345496003232239,0.7365762892078681,0.713991239371296,0.7251079419076278,0.7329805147943228,0.754581475978207,0.7436241610738255
0.01,12,0.7316592169324323,0.009575518202913727,0.7312452523578192,0.009480405894775026,0.731658037631014,0.7317678589816321,0.7312344438731305,0.7313124616746585,0.7317259077601064,0.731658037631014,0.7315035019040522,0.7338838572189664,0.7098685905694408,0.7216764898493778,0.7296518607442977,0.7526002971768202,0.740948433499939
0.01,20,0.7235760957649776,0.006570068796501037,0.7232184134303546,0.006522791752252303,0.7235762091173128,0.7236258454017015,0.7231794920683294,0.7232497075949729,0.7236057087178538,0.7235762091173128,0.7234381661942647,0.7246415294742432,0.7031692862664262,0.7137439518765529,0.7226101613291597,0.7431896978702328,0.7327554633133927
0.01,50,0.7262288073406203,0.003953802327643384,0.7257549658767561,0.0039379361693486735,0.726228059098371,0.7264795240833251,0.7257046527455802,0.7257718368995598,0.7263987878816118,0.726228059098371,0.7259935919621399,0.7305518169582772,0.6993043030146869,0.7145866245392312,0.722407231208373,0.7521050024764735,0.7369570492598884
0.001,8,0.7418877658454412,0.005782513179090126,0.7415925887200068,0.005661074249524755,0.7418866018436672,0.7418871892146013,0.7415747257533718,0.7416473218618003,0.7418869054692577,0.7418866018436672,0.7418032013520621,0.7419015011851462,0.7258438546766297,0.7337848398020318,0.7418728772440563,0.7573055968301139,0.7495098039215686
0.001,12,0.7370889086697678,0.016059243956184795,0.736505926470839,0.016461305161223308,0.737088016163657,0.7374422938270985,0.7365388255019725,0.7366166730054933,0.7373338696688913,0.737088016163657,0.7368375711423044,0.7429111531190926,0.7088379283689771,0.7254746835443038,0.7319734345351043,0.7642397226349678,0.7477586624666828
0.001,20,0.7297614489812847,0.014706822284845256,0.7291008807422728,0.015060954552665939,0.7297638590731153,0.7299922966169896,0.7292618794474905,0.7293355950749877,0.7299164727387902,0.7297638590731153,0.7295490472899274,0.7338168143969916,0.7039422829167741,0.7185691741188848,0.7261677788369876,0.754581475978207,0.7401020160310906
0.001,50,0.7331731720234563,0.012815956222931505,0.7326966173014838,0.01284753781685056,0.733173380477333,0.7333742526182838,0.7326952824743141,0.732774373701679,0.733304940692725,0.733173380477333,0.7329790928643511,0.7368703108252947,0.7085802628188611,0.72244844345199,0.729878194411273,0.7568103021297672,0.7431003039513678
0.0001,8,0.728374474371,0.0055249369385391885,0.7281784000049644,0.005549283400070591,0.7283747947973229,0.7282706864433511,0.7282103832197576,0.7282343845410525,0.7283512037417431,0.7283747947973229,0.7283568534867995,0.7242094349403836,0.7199175470239629,0.7220571133221346,0.7323319379463187,0.7365032194155523,0.7344116557599704
0.0001,12,0.7401180950375517,0.005153413534560112,0.7399127197894229,0.005252328853552653,0.740118701856295,0.7400273001151293,0.7399413763015843,0.7399737045962007,0.7400934294854659,0.740118701856295,0.7400954402637666,0.7366917683718515,0.7309971656789487,0.7338334195550957,0.7433628318584071,0.7488855869242199,0.7461139896373057
0.0001,20,0.7434017209364651,0.0037519012061683127,0.743229860859697,0.003743302606511285,0.7434019446899861,0.7433148020833134,0.7432209010534935,0.7432556987780105,0.7433767088219905,0.7434019446899861,0.7433771834773764,0.7401922577292803,0.7340891522803401,0.7371280724450194,0.7464373464373464,0.7523526498266468,0.7493833251110015
0.0001,50,0.7418848146659265,0.008697231439507276,0.7416869695274472,0.008743551092735558,0.7418866018436672,0.7418195866862207,0.7416598804528839,0.7417101170057079,0.7418605259069175,0.7418866018436672,0.7418439726557542,0.7397546332550248,0.7302241690286009,0.7349585062240664,0.7438845401174168,0.7530955918771669,0.7484617277873492
1e-05,8,0.6457877894548772,0.010561316748085182,0.6456357328006821,0.01058395746792359,0.6457886096729385,0.6457433250453204,0.6457970971212799,0.6457343545809038,0.6459256247000906,0.6457886096729385,0.645821273452837,0.6365482233502539,0.6462251996908014,0.6413502109704642,0.654938426740387,0.6453689945517583,0.6501184981913434
1e-05,12,0.6658666577333665,0.008984951534193127,0.6657210241109562,0.008972286099719281,0.665866902386665,0.6657646078911972,0.6658006347582531,0.665775440476988,0.6659175625177537,0.665866902386665,0.6658850551320971,0.6580496544663424,0.6624581293481061,0.6602465331278891,0.6734795613160518,0.6691431401684002,0.671304347826087
1e-05,20,0.6926380035350345,0.007418314442460487,0.6924919931265564,0.007415812101661381,0.6926379593383003,0.6925480996496567,0.6925972457735001,0.6925613577466607,0.6926997982638186,0.6926379593383003,0.69265756934576,0.6848964988499873,0.6905436743107447,0.6877084937131126,0.700199700449326,0.6946508172362555,0.6974142217802088
1e-05,50,0.7321633900597893,0.004420585090478587,0.7319843756887562,0.0043687190919133615,0.7321631519131203,0.7320584702255386,0.7320202663718125,0.732036738993395,0.7321463580594976,0.7321631519131203,0.7321521275305861,0.7276254526642525,0.7248131924761659,0.7262165999741835,0.7364914877868246,0.7392273402674592,0.7378568780126066
1e-06,8,0.5294851547694251,0.01572286098790908,0.5292300480783816,0.015639088453299102,0.5294860462179568,0.5293736816191505,0.5293811789800553,0.5293687834692103,0.5295633723934793,0.5294860462179568,0.5295160654816359,0.5198057756197291,0.5240917289358413,0.5219399538106235,0.5389415876185721,0.5346706290242694,0.5367976131277972
