lr,epochs,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,pooled_accuracy,pooled_macro avg_precision,pooled_macro avg_recall,pooled_macro avg_f1-score,pooled_weighted avg_precision,pooled_weighted avg_recall,pooled_weighted avg_f1-score,pooled_Activation_precision,pooled_Activation_recall,pooled_Activation_f1,pooled_Repression_precision,pooled_Repression_recall,pooled_Repression_f1,pooled_None_precision,pooled_None_recall,pooled_None_f1
0.01,8,0.5309328968903436,0.02053602244367672,0.5217178835284433,0.021471002550778103,0.5309328968903437,0.5236053838907057,0.5213076943234446,0.5222793875417696,0.5325742666290708,0.5309328968903437,0.5315701049927986,0.551004016064257,0.5678807947019867,0.5593151243375458,0.40617577197149646,0.41254523522316044,0.40933572710951527,0.6136363636363636,0.5834970530451866,0.5981873111782477
0.01,12,0.530278232405892,0.017040150683889175,0.5206304022834354,0.0175744446071543,0.530278232405892,0.5211230616345357,0.5209722244870427,0.5210465459135017,0.5304323714455933,0.530278232405892,0.5303542179878268,0.5570247933884298,0.5579470198675497,0.5574855252274608,0.40673886883273164,0.4077201447527141,0.4072289156626506,0.5996055226824457,0.5972495088408645,0.5984251968503937
0.01,20,0.5283142389525368,0.017790740741998316,0.5200561683390693,0.019070523493407224,0.5283142389525368,0.5227443726543495,0.5195839963197586,0.5207309282631111,0.5319787411454591,0.5283142389525368,0.5297265241718024,0.5536723163841808,0.5678807947019867,0.5606865549652635,0.4045714285714286,0.4270205066344994,0.4154929577464789,0.6099893730074389,0.5638506876227898,0.5860132720775906
0.01,50,0.5315875613747953,0.01811895581420367,0.5232623957684208,0.01848821477348207,0.5315875613747955,0.5253520583231849,0.5224747317048274,0.5235274991756244,0.5352968980477578,0.5315875613747955,0.5330746861450787,0.5626016260162602,0.5728476821192053,0.5676784249384742,0.4020501138952164,0.42581423401688784,0.4135910954891623,0.6114044350580782,0.568762278978389,0.5893129770992367
0.001,8,0.5240589198036008,0.0137089306653826,0.5158072746364594,0.01636934116179705,0.5240589198036006,0.5167218793113361,0.5158295475430591,0.516129660201129,0.5267250046072861,0.5240589198036006,0.5252623210352989,0.5607711651299245,0.5538079470198676,0.5572678050812162,0.39931350114416475,0.4209891435464415,0.40986494421608927,0.590080971659919,0.5726915520628684,0.5812562313060817
0.001,12,0.5306055646481178,0.013352587924301886,0.5216545467920067,0.01701726126470169,0.5306055646481178,0.5228796923713733,0.5218349726596884,0.5222288929218484,0.533085957844726,0.5306055646481178,0.5317311365124953,0.5675,0.5637417218543046,0.5656146179401993,0.40276179516685845,0.4221954161640531,0.4122497055359246,0.5983772819472617,0.5795677799607073,0.5888223552894212
0.001,20,0.5325695581014729,0.008319649772267648,0.5233654984140952,0.011497611938728882,0.532569558101473,0.5242923485563828,0.5235189528176529,0.5238339765036573,0.534340169151584,0.532569558101473,0.5333906820794911,0.5689368770764119,0.5670529801324503,0.5679933665008292,0.40675990675990675,0.4209891435464415,0.41375222288085356,0.5971802618328298,0.5825147347740668,0.5897563401292889
0.001,50,0.5358428805237316,0.009350479120841719,0.5268984423629645,0.012097378270458245,0.5358428805237316,0.5273645607934342,0.527349459019347,0.5273485279057136,0.5364070009210656,0.5358428805237316,0.5361173018519438,0.5661948376353039,0.5629139072847682,0.564549605645496,0.42023809523809524,0.42581423401688784,0.42300778909526665,0.5956607495069034,0.593320235756385,0.594488188976378
0.0001,8,0.504746317512275,0.008383796055558572,0.4955701080989693,0.009462715632795321,0.504746317512275,0.49696820719847795,0.49613501730093557,0.49649717602556037,0.5055801869396307,0.504746317512275,0.5051092940647075,0.5363859362224039,0.543046357615894,0.539695598519128,0.3973902728351127,0.4041013268998794,0.4007177033492823,0.5571284125379171,0.5412573673870335,0.5490782262082711
0.0001,12,0.5152209492635025,0.009339013170335251,0.5060143981615239,0.010446641024872392,0.5152209492635025,0.507127327723561,0.5067004789155028,0.5069028567162133,0.5153119126991692,0.5152209492635025,0.5152545583094513,0.5434426229508197,0.5488410596026491,0.5461285008237232,0.41133896260554886,0.41133896260554886,0.41133896260554886,0.5666003976143141,0.5599214145383105,0.5632411067193676
