lr,epochs,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,pooled_accuracy,pooled_macro avg_precision,pooled_macro avg_recall,pooled_macro avg_f1-score,pooled_weighted avg_precision,pooled_weighted avg_recall,pooled_weighted avg_f1-score,pooled_Activation_precision,pooled_Activation_recall,pooled_Activation_f1,pooled_Repression_precision,pooled_Repression_recall,pooled_Repression_f1,pooled_None_precision,pooled_None_recall,pooled_None_f1
0.01,8,0.2956937799043062,0.06188197767145136,0.16016556028773782,0.041222251302671965,0.29569377990430623,0.4188239259540863,0.3372231082757398,0.23176962984420194,0.4288587018403628,0.29569377990430623,0.22259119418143558,0.4110738255033557,0.19444444444444445,0.2640086206896552,0.2647527910685805,0.8,0.39784301977231873,0.5806451612903226,0.01722488038277512,0.03345724907063197
0.01,12,0.39553429027113235,0.06873244554547209,0.26203032891092815,0.08680969238299993,0.39553429027113235,0.37958001015652726,0.37731565740443357,0.37632246042166245,0.3898747002377029,0.39553429027113246,0.3904188056669585,0.4364123159303882,0.5174603174603175,0.4734931009440813,0.2863013698630137,0.25180722891566265,0.26794871794871794,0.41602634467618005,0.3626794258373206,0.38752556237218816
0.01,20,0.3996810207336523,0.04388255165415806,0.2612630099642187,0.07483018759187643,0.3996810207336523,0.3744887500758142,0.3725314411744342,0.36545203399436926,0.384211285335842,0.3996810207336523,0.38411637523125164,0.43335325762104004,0.5753968253968254,0.49437436072280944,0.29158512720156554,0.17951807228915662,0.2222222222222222,0.39852786540483703,0.3626794258373206,0.37975951903807614
0.01,50,0.354066985645933,0.09124702851159036,0.20504638089799027,0.09363554802364067,0.35406698564593303,0.3645961723582984,0.35950988582567533,0.35400421420129885,0.37685260738066456,0.35406698564593303,0.3576774344916939,0.4434687156970362,0.32063492063492066,0.3721787194841087,0.2647527910685805,0.4,0.31861804222648754,0.38556701030927837,0.35789473684210527,0.37121588089330027
0.001,8,0.39106858054226473,0.07013482948548294,0.23922197349465318,0.08470094069488245,0.39106858054226473,0.38802898746806097,0.3638101429794518,0.3372391209905226,0.398266138434565,0.39106858054226473,0.35405945783958864,0.42778335005015045,0.676984126984127,0.5242778119237861,0.2785114045618247,0.27951807228915665,0.2790138304269393,0.4577922077922078,0.13492822966507176,0.20842572062084258
0.001,12,0.3901116427432217,0.04457271590441485,0.2793886386163922,0.06350210258485992,0.3901116427432217,0.3949693181772486,0.38463005206822576,0.32562474870384733,0.40533822049656054,0.3901116427432217,0.3329271001732665,0.47900763358778625,0.1992063492063492,0.28139013452914796,0.32781456953642385,0.11927710843373494,0.17491166077738515,0.37808575140753575,0.8354066985645933,0.5205724508050089
0.001,20,0.3639553429027113,0.0472412493371826,0.24935536067983696,0.09931787573461028,0.3639553429027113,0.39989841561659034,0.3709438955792792,0.31639848696536305,0.41531553268586413,0.3639553429027113,0.31232376939968576,0.5340136054421769,0.1246031746031746,0.20205920205920205,0.3092105263157895,0.22650602409638554,0.2614742698191933,0.35647111509180474,0.7617224880382775,0.4856619890176937
0.001,50,0.3821371610845295,0.08967005887417694,0.2661530920873054,0.09811895392605531,0.3821371610845295,0.39270881733765894,0.3880600857138587,0.37993584383179085,0.406762133481275,0.3821371610845295,0.3832848155389676,0.4791929382093317,0.30158730158730157,0.3701899659035558,0.27427597955706984,0.38795180722891565,0.3213572854291417,0.4246575342465753,0.47464114832535886,0.4482602801626751
0.0001,8,0.3537480063795853,0.05315002494632489,0.21112354044392526,0.04170800350287691,0.3537480063795853,0.22289985296903433,0.3345030917320074,0.26721731889329653,0.23263291898793112,0.3537480063795853,0.2803988788592247,0.40531062124248496,0.6420634920634921,0.49692874692874694,0.2633889376646181,0.3614457831325301,0.3047232097511427,0.0,0.0,0.0
0.0001,12,0.36204146730462516,0.02348346069448927,0.24743825377006146,0.06076491659288956,0.3620414673046252,0.40797786685853293,0.3632107071866108,0.2671805782791316,0.4268457986555265,0.3620414673046252,0.2668221391881809,0.5722222222222222,0.08174603174603175,0.14305555555555555,0.2971014492753623,0.09879518072289156,0.14828209764918626,0.3546099290780142,0.9090909090909091,0.5102040816326531
0.0001,20,0.39362041467304626,0.0469712539309728,0.27502815790306845,0.05278470166703334,0.39362041467304626,0.4135088740886317,0.3837556499255929,0.300035319399258,0.42851862067732566,0.39362041467304626,0.3136799989355201,0.5444444444444444,0.19444444444444445,0.28654970760233917,0.32558139534883723,0.05060240963855422,0.08759124087591241,0.3705007824726135,0.9062200956937799,0.5259650097195223
0.0001,50,0.4133971291866029,0.062134672079417905,0.33135029464530363,0.03973301802308974,0.4133971291866029,0.4287390055164728,0.426487632004436,0.4040001988327149,0.44353369042016255,0.4133971291866029,0.40219444743166993,0.5195246179966044,0.24285714285714285,0.33098972417522987,0.3037974683544304,0.43373493975903615,0.3573200992555831,0.4628949301983835,0.6028708133971292,0.5236907730673317
1e-05,8,0.35853269537480065,0.03256714262992081,0.32278111296505096,0.009553050657292065,0.35853269537480065,0.36078016420925024,0.3484043106427381,0.3444475512817598,0.37119875695689913,0.35853269537480065,0.35484594796662045,0.4080381471389646,0.4753968253968254,0.43914956011730205,0.256120527306968,0.327710843373494,0.28752642706131076,0.41818181818181815,0.24210526315789474,0.30666666666666664
1e-05,12,0.33652312599681017,0.0386610239901134,0.306535245144294,0.026845473527273553,0.3365231259968102,0.37670177495852863,0.35758190352356484,0.33375715570929304,0.3887656924364741,0.3365231259968102,0.3312904732182418,0.4375857338820302,0.25317460317460316,0.3207642031171443,0.26167698368036013,0.5602409638554217,0.3567318757192175,0.43084260731319557,0.25933014354066986,0.3237753882915173
1e-05,20,0.3473684210526316,0.00633155765272064,0.2605566336107121,0.011711598834916034,0.3473684210526316,0.36664299524970234,0.34972854126310055,0.2703005263389516,0.3834264441516935,0.3473684210526316,0.2693028116741554,0.4977973568281938,0.08968253968253968,0.15198386012104909,0.25307125307125306,0.12409638554216867,0.16653193209377526,0.34906037584966015,0.8354066985645933,0.49238578680203043
1e-05,50,0.3881977671451356,0.04303974841446986,0.3118931603905767,0.029947126470053237,0.38819776714513554,0.39300481378279656,0.39078150530274813,0.3507175962777822,0.4067683696843874,0.38819776714513554,0.35207717911425834,0.49292929292929294,0.19365079365079366,0.27806267806267804,0.2922374429223744,0.23132530120481928,0.2582380632145259,0.39384770549672216,0.7473684210526316,0.5158520475561427
1e-06,8,0.31961722488038274,0.01392592022516305,0.3139870095307696,0.015629181121964774,0.3196172248803828,0.33163473661510534,0.3284904637155747,0.3144628082974019,0.3433729009992852,0.3196172248803828,0.3142468711203655,0.4059561128526646,0.20555555555555555,0.27291886195995785,0.23479729729729729,0.3349397590361446,0.27606752730883816,0.3541507996953541,0.4449760765550239,0.3944020356234097
1e-06,12,0.3218500797448166,0.011737396805725109,0.315818045305937,0.012667970033732285,0.3218500797448166,0.3354578712387084,0.3325352141458673,0.3166131838763698,0.3469238516980943,0.3218500797448166,0.3152214247146507,0.40916530278232405,0.1984126984126984,0.2672367717797969,0.2419753086419753,0.3542168674698795,0.28753056234718827,0.3552330022918258,0.4449760765550239,0.39507221750212407
1e-06,20,0.3282296650717703,0.007507880252593194,0.32237497354904976,0.007967688519058672,0.3282296650717703,0.32748230447264043,0.32684270918259506,0.32517851589244945,0.33720783781819946,0.3282296650717703,0.33074091713960285,0.38571428571428573,0.32142857142857145,0.35064935064935066,0.24390243902439024,0.30120481927710846,0.2695417789757412,0.35283018867924526,0.35789473684210527,0.3553444180522565
1e-06,50,0.34960127591706536,0.01954382606958902,0.3331763196050176,0.009708834573442567,0.3496012759170654,0.3463386921720255,0.33964667052809094,0.33743421956209807,0.35642166475499804,0.3496012759170654,0.34752279374866685,0.4,0.4523809523809524,0.4245810055865922,0.25297619047619047,0.3072289156626506,0.27747551686615884,0.38603988603988604,0.25933014354066986,0.3102461362335432
